HUL,QPR,4193,26,8667,10172,2,1,2015-02-21 00:00:00,2014/2015
MCI,NEW,4194,26,8456,10261,5,0,2015-02-21 00:00:00,2014/2015
SUN,WBA,4196,26,8472,8659,0,0,2015-02-21 00:00:00,2014/2015
SWA,MUN,4197,26,10003,10260,2,1,2015-02-21 00:00:00,2014/2015
MUN,BUR,4181,25,10260,8191,3,1,2015-02-11 00:00:00,2014/2015
SOU,WHU,4182,25,8466,8654,0,0,2015-02-11 00:00:00,2014/2015
CRY,NEW,4183,25,9826,10261,1,1,2015-02-11 00:00:00,2014/2015
WBA,SWA,4185,25,8659,10003,2,0,2015-02-11 00:00:00,2014/2015
CHE,EVE,4186,25,8455,8668,1,0,2015-02-11 00:00:00,2014/2015
STK,MCI,4187,25,10194,8456,1,4,2015-02-11 00:00:00,2014/2015
ARS,LEI,4179,25,9825,8197,2,1,2015-02-10 00:00:00,2014/2015
HUL,AVL,4180,25,8667,10252,2,0,2015-02-10 00:00:00,2014/2015
LIV,TOT,4184,25,8650,8586,3,2,2015-02-10 00:00:00,2014/2015
SUN,QPR,4188,25,8472,10172,0,2,2015-02-10 00:00:00,2014/2015
BUR,WBA,4170,24,8191,8659,2,2,2015-02-08 00:00:00,2014/2015
NEW,STK,4174,24,10261,10194,1,1,2015-02-08 00:00:00,2014/2015
WHU,MUN,4178,24,8654,10260,1,1,2015-02-08 00:00:00,2014/2015
AVL,CHE,4169,24,10252,8455,1,2,2015-02-07 00:00:00,2014/2015
EVE,LIV,4171,24,8668,8650,0,0,2015-02-07 00:00:00,2014/2015
LEI,CRY,4172,24,8197,9826,0,1,2015-02-07 00:00:00,2014/2015
MCI,HUL,4173,24,8456,8667,1,1,2015-02-07 00:00:00,2014/2015
QPR,SOU,4175,24,10172,8466,0,1,2015-02-07 00:00:00,2014/2015
SWA,SUN,4176,24,10003,8472,1,1,2015-02-07 00:00:00,2014/2015
TOT,ARS,4177,24,8586,9825,2,1,2015-02-07 00:00:00,2014/2015
ARS,AVL,4159,23,9825,10252,5,0,2015-02-01 00:00:00,2014/2015
SOU,SWA,4165,23,8466,10003,0,1,2015-02-01 00:00:00,2014/2015
CHE,MCI,4160,23,8455,8456,1,1,2015-01-31 00:00:00,2014/2015
CRY,EVE,4161,23,9826,8668,0,1,2015-01-31 00:00:00,2014/2015
HUL,NEW,4162,23,8667,10261,0,3,2015-01-31 00:00:00,2014/2015
LIV,WHU,4163,23,8650,8654,2,0,2015-01-31 00:00:00,2014/2015
MUN,LEI,4164,23,10260,8197,3,1,2015-01-31 00:00:00,2014/2015
STK,QPR,4166,23,10194,10172,3,1,2015-01-31 00:00:00,2014/2015
SUN,BUR,4167,23,8472,8191,2,0,2015-01-31 00:00:00,2014/2015
WBA,TOT,4168,23,8659,8586,0,3,2015-01-31 00:00:00,2014/2015
EVE,WBA,4151,22,8668,8659,0,0,2015-01-19 00:00:00,2014/2015
MCI,ARS,4153,22,8456,9825,0,2,2015-01-18 00:00:00,2014/2015
WHU,HUL,4158,22,8654,8667,3,0,2015-01-18 00:00:00,2014/2015
AVL,LIV,4149,22,10252,8650,0,2,2015-01-17 00:00:00,2014/2015
BUR,CRY,4150,22,8191,9826,2,3,2015-01-17 00:00:00,2014/2015
LEI,STK,4152,22,8197,10194,0,1,2015-01-17 00:00:00,2014/2015
NEW,SOU,4154,22,10261,8466,1,2,2015-01-17 00:00:00,2014/2015
QPR,MUN,4155,22,10172,10260,0,2,2015-01-17 00:00:00,2014/2015
SWA,CHE,4156,22,10003,8455,0,5,2015-01-17 00:00:00,2014/2015
TOT,SUN,4157,22,8586,8472,2,1,2015-01-17 00:00:00,2014/2015
