24; 17; 0.5854; 32; 30; -0.0323; 5; 5; -0.0333; 4; 6; -0.35; 12; 11; 0; 9; 15; 0; 5; 5; -0.0333; 4; 6; -0.35; 0; 2; 0; 0; 0; 0; 74; 54; 1; 0; 0; 115; 115; 1; 0
28; 29; 0.1579; 33; 22; 0.3818; 7; 3; 0.2333; 2; 8; 0.2667; 18; 20; 0; 14; 15; 0; 7; 3; 0.2333; 2; 8; 0.2667; 0; 1; -2; 0; 1; -2; 44; 67; 1; 0; 0; 301; 301; 1; 0
13; 21; -0.5882; 47; 27; 0.7432; 2; 8; -0.2; 3; 7; -0.15; 12; 11; 0; 21; 19; 0; 3; 7; -0.0333; 3; 7; -0.15; 0; 0; 0; 0; 0; 0; 91; 20; 1; 0; 0; 148; 295; 0; 1
48; 27; 0.76; 27; 15; 0.7619; 4; 6; -0.0333; 5; 5; -0.1667; 22; 19; 0; 11; 7; 0; 4; 6; -0.0333; 6; 4; -0.2; 1; 0; 1; 0; 0; 0; 20; 45; 1; 0; 0; -253; -211; 1; 0
45; 21; 1; 16; 25; -0.3659; 5; 5; 0.45; 5; 5; 0.45; 29; 12; 1; 10; 13; 0; 5; 5; 0.45; 5; 5; 0.45; 1; 4; -1.6; 0; 4; -2.5; 25; 15; 1; 0; 0; 8; 8; 0; 1
30; 30; 0.0667; 27; 29; 0.1429; 5; 5; 0.45; 5; 5; -0.25; 16; 17; 0; 17; 17; 0; 5; 5; 0.45; 5; 5; -0.25; 0; 1; 0; 0; 1; 0; 19; 66; 1; 0; 0; 113; 113; 1; 0
21; 20; 0.3415; 34; 20; 0.7963; 6; 4; 0.2; 4; 6; 0.125; 16; 13; 0; 18; 13; 0; 6; 4; 0.2; 4; 6; 0.125; 1; 1; 1; 1; 1; 1; 65; 12; 1; 0; 0; 90; 90; 0; 1
31; 30; 0.0656; 35; 20; 0.8; 5; 5; 0; 4; 6; -0.2667; 17; 17; 0; 19; 13; 0; 5; 5; 0; 4; 6; -0.2667; 0; 0; 0; 0; 0; 0; 19; 12; 1; 0; 0; -46; -46; 0; 1
42; 22; 0.9688; 18; 25; -0.2326; 5; 5; 0; 6; 4; -0.25; 19; 15; 0; 12; 13; 0; 5; 5; 0; 6; 4; -0.25; 1; 5; -0.5; 1; 3; -0.75; 13; 15; 1; 0; 0; -227; -227; 0; 1
19; 25; -0.2273; 36; 20; 0.8036; 7; 3; 0.25; 5; 5; 0.25; 13; 13; 0; 20; 13; 0; 7; 3; 0.25; 5; 5; 0.25; 0; 3; -1; 0; 2; -1; 15; 12; 1; 0; 0; 232; 232; 1; 0
27; 16; 0.6977; 31; 31; 0.0484; 5; 5; 0.1; 4; 6; 0.3; 11; 8; 0; 17; 18; 0; 6; 4; 0.1333; 4; 6; 0.3; 1; 2; -1.6667; 0; 1; -4; 45; 19; 1; 0; 0; 193; 151; 0; 1
21; 28; -0.5918; 31; 21; 0.3462; 4; 6; -0.25; 5; 5; -0.3; 15; 20; 0; 17; 13; 0; 4; 6; -0.25; 5; 5; -0.3; 2; 2; -1.25; 1; 2; -2; 22; 36; 1; 0; 0; 126; 126; 0; 1
14; 22; -0.5556; 38; 26; 0.375; 3; 7; -0.2; 5; 5; -0.25; 13; 12; 0; 23; 18; 0; 3; 7; -0.2; 5; 5; -0.25; 1; 2; 0; 1; 2; 0; 91; 47; 1; 0; 0; -37; -37; 0; 1
32; 31; 0.0476; 21; 12; 0.4545; 4; 6; -0.3; 4; 6; -0.225; 18; 18; 0; 8; 7; 0; 4; 6; -0.3; 4; 6; -0.225; 0; 0; 0; 0; 0; 0; 19; 35; 1; 0; 0; 117; 117; 1; 0
7; 8; -0.6667; 39; 26; 0.3692; 6; 4; -0.45; 6; 4; -0.4; 7; 6; 0; 24; 18; 0; 6; 4; -0.45; 6; 4; -0.4; 2; 1; -0.6667; 2; 1; -0.6667; 85; 47; 1; 0; 0; 130; 130; 0; 1
32; 21; 0.3585; 35; 23; 0.1379; 6; 4; 0.2; 6; 4; 0.25; 18; 13; 0; 18; 11; 0; 6; 4; 0.2; 6; 4; 0.25; 6; 0; 2.6667; 2; 0; 2; 36; 21; 1; 0; 0; -168; -168; 0; 1
38; 28; 0.6818; 27; 23; 0.02; 6; 4; 0.2; 4; 6; -0.2667; 21; 14; 0; 10; 15; 0; 6; 4; 0.2; 4; 6; -0.2667; 0; 0; 0; 0; 0; 0; 88; 17; 1; 0; 0; 233; 233; 0; 1
5; 6; 0.0909; 32; 19; 0.3529; 5; 5; -0.4; 4; 6; 0.4; 5; 4; 0; 16; 13; 0; 5; 5; -0.3; 4; 6; 0.4; 1; 1; -1; 1; 1; -1; 92; 38; 1; 0; 0; 138; 138; 0; 1
