1W; 1L; 1GDpS; 2W; 2L; 2GDpS; 1FW; 1FL; 1FGDpS; 2FW; 2FL; 2FGDpS; 1SW; 1SL; 1SGDpS; 2SW; 2SL; 2SGDpS; 1SFW; 1SFL; 1SFGDpS; 2SFW; 2SFL; 2SFGDpS; 1MW; 1ML; 1MGDpS; 1MSW; 1MSL; 1MSGDpS; 1R; 2R; H; C; G; dSc; dSSc; 1; 2
5; 2; 1; 4; 1; 0.8; 5; 2; -0.1905; 4; 1; 0.5; 5; 2; 1; 4; 1; 0; 5; 2; -0.1905; 4; 1; 0.5; 2; 3; -1.2; 1; 2; -1.6667; 52; 12; 1; 0; 0; 271; 271; 1; 0
1; 1; 0.5; 2; 1; 1; 1; 1; -0.5; 2; 1; 1; 1; 1; 0; 2; 1; 1; 1; 1; -0.5; 2; 1; 1; 0; 2; -2.5; 0; 1; -2; 92; 11; 1; 0; 0; -136; -136; 0; 1
2; 0; 1; 3; 2; 0; 2; 0; 1.3333; 3; 2; 0.0667; 2; 0; 1; 3; 2; 0; 2; 0; 1.3333; 3; 2; 0.0667; 0; 1; -1; 0; 1; -1; 76; 10; 1; 0; 0; -168; -168; 0; 1
3; 2; 0.4; 1; 0; 2; 3; 2; -0.5; 1; 0; 2.6667; 3; 2; 0; 1; 0; 2; 3; 2; -0.5; 1; 0; 2.6667; 2; 2; -1.25; 2; 2; -1.25; 74; 8; 1; 0; 0; 209; 209; 1; 0
1; 0; 1; 5; 2; 0.7143; 1; 0; 1.75; 5; 2; -0.3571; 1; 0; 1; 5; 2; 0; 1; 0; 1.75; 5; 2; -0.3571; 4; 2; 2; 1; 1; 2; 7; 67; 1; 0; 0; -265; -265; 1; 0
5; 0; 2; 3; 2; 0.6; 5; 0; 0.3333; 3; 2; -0.2; 5; 0; 2; 3; 2; 0; 5; 0; 0.3333; 3; 2; -0.2; 1; 0; 2; 1; 0; 2; 6; 85; 1; 0; 0; 330; 330; 1; 0
5; 0; 2.2; 4; 3; 0.1429; 5; 0; 0.6; 4; 3; -0.3571; 5; 0; 2; 4; 3; 0; 5; 0; 0.6; 4; 3; -0.3571; 1; 0; 1; 1; 0; 1; 5; 72; 1; 0; 0; 255; 255; 1; 0
1; 0; 5; 4; 2; 1; 1; 0; 5.3333; 4; 2; 0.5; 1; 0; 5; 4; 2; 1; 1; 0; 5.3333; 4; 2; 0.5; 2; 0; 3; 1; 0; 4; 1; 55; 1; 0; 0; -127; -127; 1; 0
4; 2; 0.5; 4; 2; 0; 4; 2; -0.4167; 4; 2; -0.2778; 4; 2; 0; 4; 2; 0; 4; 2; -0.4167; 4; 2; -0.2778; 0; 4; -1.75; 0; 3; -2.3333; 74; 43; 1; 0; 0; 92; 92; 0; 1
6; 2; 0.875; 3; 1; 0.75; 6; 2; -0.1667; 3; 1; 0.3333; 6; 2; 0; 3; 1; 0; 6; 2; -0.1667; 3; 1; 0.3333; 1; 1; 1.5; 1; 1; 1.5; 52; 25; 1; 0; 0; 469; 469; 0; 1
2; 1; 0.3333; 2; 1; 0.3333; 2; 1; -0.8333; 2; 1; -0.2222; 2; 1; 0; 2; 1; 0; 2; 1; -0.8333; 2; 1; -0.2222; 1; 2; -1; 1; 1; -1; 20; 18; 1; 0; 0; 41; 41; 1; 0
3; 2; -0.2; 6; 1; 1.2857; 3; 2; -0.3333; 6; 1; 0.3571; 3; 2; 0; 6; 1; 1; 3; 2; -0.3333; 6; 1; 0.3571; 1; 0; 0; 1; 0; 0; 91; 16; 1; 0; 0; -278; -278; 1; 0
6; 1; 0.5714; 5; 1; 1; 6; 1; 0.3571; 5; 1; 0.2222; 6; 1; 0; 5; 1; 1; 6; 1; 0.3571; 5; 1; 0.2222; 4; 1; 1.8; 3; 1; 1.75; 15; 42; 1; 0; 0; 52; 52; 0; 1
3; 1; 1.25; 3; 1; 1.25; 3; 1; 0.75; 3; 1; 0.75; 3; 1; 1; 3; 1; 1; 3; 1; 0.75; 3; 1; 0.75; 0; 2; -2.5; 0; 2; -2.5; 82; 11; 1; 0; 0; -154; -154; 0; 1
3; 1; 0.75; 4; 2; 0.1667; 3; 1; 0.1667; 4; 2; 0.0556; 3; 1; 0; 4; 2; 0; 3; 1; 0.1667; 4; 2; 0.0556; 3; 3; 0.8333; 2; 2; 0.5; 17; 10; 1; 0; 0; -101; -101; 0; 1
5; 1; 1.6667; 2; 1; 1.6667; 5; 1; 0.6667; 2; 1; 1.5; 5; 1; 1; 2; 1; 1; 5; 1; 0.6667; 2; 1; 1.5; 0; 2; -3; 0; 1; -3; 9; 19; 1; 0; 0; -24; -24; 0; 1
2; 1; 0.3333; 2; 0; 2.5; 2; 1; -1; 2; 0; 0.875; 2; 1; 0; 2; 0; 2; 2; 1; -1; 2; 0; 0.875; 0; 4; -1; 0; 2; -1; 32; 7; 1; 0; 0; -59; -59; 0; 1
2; 1; 0.6667; 6; 0; 2; 2; 1; -0.6667; 6; 0; 0.5; 2; 1; 0; 6; 0; 2; 2; 1; -0.6667; 6; 0; 0.5; 2; 2; 0; 1; 2; -1; 29; 5; 1; 0; 0; -370; -370; 0; 1
7; 0; 2.4286; 2; 0; 1.5; 7; 0; 0.2381; 2; 0; 1.125; 7; 0; 2; 2; 0; 1; 7; 0; 0.2381; 2; 0; 1.125; 3; 0; 2; 3; 0; 2; 4; 47; 1; 0; 0; 390; 390; 1; 0
3; 1; 0.25; 4; 0; 2.75; 3; 1; 0.3333; 4; 0; 1; 3; 1; 0; 4; 0; 2; 3; 1; 0.3333; 4; 0; 1; 1; 10; -1.3636; 1; 5; -1.1667; 56; 3; 1; 0; 0; 34; 34; 0; 1
2; 2; -0.25; 2; 0; 4.5; 2; 2; -0.5; 2; 0; 2.6667; 2; 2; 0; 2; 0; 4; 2; 2; -0.5; 2; 0; 2.6667; 0; 2; -4; 0; 2; -4; 80; 1; 1; 0; 0; 27; 27; 0; 1
4; 1; 1.8; 5; 2; 0.2857; 4; 1; 0.6; 5; 2; -0.2381; 4; 1; 1; 5; 2; 0; 4; 1; 0.6; 5; 2; -0.2381; 5; 0; 1.6; 4; 0; 1.5; 11; 43; 1; 0; 0; -149; -149; 1; 0
5; 2; 0.4286; 3; 0; 2.3333; 5; 2; 0.0476; 3; 0; 0.5833; 5; 2; 0; 3; 0; 2; 5; 2; 0.0476; 3; 0; 0.5833; 3; 7; -0.5; 1; 4; -1; 10; 7; 1; 0; 0; 130; 130; 0; 1
4; 1; 0.6; 7; 0; 2.2857; 4; 1; 0.2667; 7; 0; 0.2381; 4; 1; 0; 7; 0; 2; 4; 1; 0.2667; 7; 0; 0.2381; 2; 0; 1; 2; 0; 1; 25; 6; 1; 0; 0; -224; -224; 1; 0
3; 1; 2; 7; 0; 2.1429; 3; 1; 1.125; 7; 0; 0.4286; 3; 1; 2; 7; 0; 2; 3; 1; 1.125; 7; 0; 0.4286; 1; 8; -2.3333; 1; 6; -2.2857; 19; 5; 1; 0; 0; -291; -291; 0; 1
6; 1; 0.8571; 5; 0; 2.6; 6; 1; 0.1905; 5; 0; 0.8; 6; 1; 0; 5; 0; 2; 6; 1; 0.1905; 5; 0; 0.8; 0; 2; -3; 0; 2; -3; 42; 3; 1; 0; 0; 158; 158; 0; 1
6; 1; 2; 3; 1; 0.5; 6; 1; 0.2381; 3; 1; -0.625; 6; 1; 2; 3; 1; 0; 6; 1; 0.2381; 3; 1; -0.625; 8; 2; 1.9; 4; 0; 2.25; 2; 20; 1; 0; 0; 23; 23; 1; 0
5; 1; 0.6667; 8; 0; 2.625; 5; 1; 0.2222; 8; 0; 0.2083; 5; 1; 0; 8; 0; 2; 5; 1; 0.2222; 8; 0; 0.2083; 0; 2; -3.5; 0; 2; -3.5; 25; 4; 1; 0; 0; -303; -303; 0; 1
6; 0; 2.6667; 5; 1; 2; 6; 0; 0.6667; 5; 1; 0.5; 6; 0; 2; 5; 1; 2; 6; 0; 0.6667; 5; 1; 0.5; 13; 4; 1.5882; 8; 4; 1.75; 3; 11; 1; 0; 0; 74; 74; 1; 0
4; 0; 1.75; 7; 1; 2; 4; 0; 0.4375; 7; 1; 0.2083; 4; 0; 1; 7; 1; 2; 4; 0; 0.4375; 7; 1; 0.2083; 3; 11; -1.0714; 3; 6; -0.5556; 7; 2; 1; 0; 0; -7; -7; 0; 1
8; 0; 2.25; 4; 0; 4; 8; 0; 0.375; 4; 0; 1.3333; 8; 0; 2; 4; 0; 4; 8; 0; 0.375; 4; 0; 1.3333; 4; 9; -0.7692; 2; 8; -1.1; 5; 1; 1; 0; 0; 572; 572; 0; 1
7; 0; 2.7143; 8; 1; 1.8889; 7; 0; 0.5714; 8; 1; 0.1852; 7; 0; 2; 8; 1; 1; 7; 0; 0.5714; 8; 1; 0.1852; 10; 18; -0.1786; 6; 5; 0.4545; 3; 2; 1; 0; 0; 27; 27; 0; 1
5; 0; 3.6; 9; 0; 2.6667; 5; 0; 1.0667; 9; 0; 0.1852; 5; 0; 3; 9; 0; 2; 5; 0; 1.0667; 9; 0; 0.1852; 10; 6; 0.625; 8; 5; 0.5385; 1; 4; 1; 0; 0; -473; -473; 1; 0
9; 1; 1.8; 6; 0; 3.1667; 9; 1; 0.1667; 6; 0; 0.8889; 9; 1; 1; 6; 0; 3; 9; 1; 0.1667; 6; 0; 0.8889; 16; 14; -0.0333; 5; 11; -0.8125; 2; 1; 1; 0; 0; 226; 226; 0; 1
0; 4; -1.75; 7; 2; 1.2222; 0; 4; -0.5; 7; 2; 0.1852; 0; 4; -1; 7; 2; 1; 0; 4; -0.5; 7; 2; 0.1852; 0; 1; -3; 0; 1; -3; 71; 35; 1; 0; 0; -455; -455; 0; 1
1; 3; -0.75; 2; 3; -0.4; 1; 3; -1; 2; 3; 0.0667; 1; 3; 0; 2; 3; 0; 1; 3; -1; 2; 3; 0.0667; 1; 2; 0; 1; 1; 0; 41; 45; 1; 0; 0; -56; -56; 1; 0
7; 3; 0.5; 9; 4; 0.5385; 7; 3; 0.0333; 7; 3; 0.2; 7; 3; 0; 9; 4; 0; 7; 3; 0.0333; 7; 3; 0.2; 0; 4; -1.5; 0; 3; -1.6667; 94; 44; 1; 0; 0; -480; -480; 0; 1
8; 4; 0.25; 1; 2; -0.3333; 7; 3; 0.1; 1; 2; -0.5556; 8; 4; 0; 1; 2; 0; 7; 3; 0.1; 1; 2; -0.5556; 2; 0; 0.5; 2; 0; 0.5; 43; 27; 1; 0; 0; 625; 625; 1; 0
2; 4; -0.6667; 6; 2; 0.5; 2; 4; -0.5833; 6; 2; 0.3125; 2; 4; 0; 6; 2; 0; 2; 4; -0.5833; 6; 2; 0.3125; 1; 1; 0; 1; 1; 0; 57; 15; 1; 0; 0; -296; -296; 1; 0
4; 4; -0.25; 4; 3; 0.8571; 4; 4; 0.75; 4; 3; 0.6429; 4; 4; 0; 4; 3; 0; 4; 4; 0.75; 4; 3; 0.6429; 0; 1; -1; 0; 1; -1; 75; 19; 1; 0; 0; -295; -295; 0; 1
