id,rank,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
108,Jared Donaldson,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54,NULL
109,Viktor Troicki,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57,29,28,22,38,75,NULL,22,29,55,NULL
110,Julien Benneteau,NULL,NULL,NULL,NULL,NULL,65,NULL,40,68,43,46,44,52,35,35,25,NULL,NULL,56,NULL
111,Donald Young,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,NULL,NULL,NULL,39,NULL,96,57,48,88,61,NULL
112,Horacio Zeballos,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45,NULL,NULL,85,56,NULL,NULL,71,66,NULL
113,Dudi Sela,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64,NULL,43,75,83,NULL,73,98,100,96,67,NULL
114,Florian Mayer,NULL,NULL,NULL,NULL,NULL,35,72,56,55,NULL,61,37,23,28,40,NULL,NULL,50,69,NULL
115,Guillermo Garcia-Lopez,NULL,NULL,NULL,NULL,NULL,NULL,91,68,90,62,41,33,65,76,62,36,27,70,70,NULL
116,Yen-Hsun Lu,NULL,NULL,NULL,NULL,NULL,87,NULL,89,NULL,64,98,35,82,59,65,38,77,64,71,NULL
117,Thomas Fabbiano,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,73,NULL
118,Steve Darcis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86,61,NULL,NULL,88,93,NULL,NULL,86,86,77,NULL
119,Cedrik-Marcel Stebe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81,NULL,NULL,NULL,NULL,NULL,82,NULL
120,Victor Estrella Burgos,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,56,NULL,83,NULL
121,Mikhail Youzhny,NULL,NULL,58,32,43,16,43,24,19,32,19,10,35,25,15,48,NULL,57,84,NULL
122,Lukas Lacko,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,89,NULL,51,81,94,NULL,NULL,92,NULL
123,Nicolas Kicker,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,95,NULL
124,Blaz Kavcic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92,94,NULL,NULL,NULL,NULL,97,NULL
125,Gerald Melzer,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,68,100,NULL
126,Marcos Baghdatis,NULL,NULL,NULL,NULL,NULL,NULL,55,12,16,98,42,20,44,36,87,85,46,36,NULL,NULL
127,Nicolas Mahut,NULL,NULL,NULL,NULL,94,NULL,NULL,66,45,94,NULL,NULL,80,NULL,50,NULL,71,39,NULL,NULL
128,Nicolas Almagro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32,28,18,26,15,10,11,13,71,73,44,NULL,NULL
129,Andrey Kuznetsov,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78,NULL,92,79,46,NULL,NULL
130,Stephane Robert,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,54,NULL,NULL
131,Facundo Bagnis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,NULL,NULL
132,Thomaz Bellucci,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,36,31,37,33,NULL,65,37,61,NULL,NULL
133,Juan Monaco,NULL,NULL,NULL,NULL,NULL,73,85,69,23,46,30,26,26,12,42,62,53,65,NULL,NULL
134,Daniel Evans,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,66,NULL,NULL
135,Dustin Brown,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92,NULL,NULL,NULL,89,NULL,72,NULL,NULL
136,Paul-Henri Mathieu,NULL,NULL,NULL,36,83,NULL,46,55,25,31,33,97,NULL,58,NULL,96,95,73,NULL,NULL
137,Illya Marchenko,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81,NULL,NULL,NULL,NULL,94,74,NULL,NULL
138,Adam Pavlasek,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75,NULL,NULL
139,Gastao Elias,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81,NULL,NULL
140,Thiago Monteiro,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,82,NULL,NULL
141,Renzo Olivo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83,NULL,NULL
142,Konstantin Kravchuk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,NULL,NULL
143,Santiago Giraldo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,64,55,57,69,32,70,91,NULL,NULL
144,Ricardas Berankis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87,NULL,NULL,NULL,86,85,92,NULL,NULL
145,Carlos Berlocq,NULL,NULL,NULL,NULL,NULL,NULL,79,NULL,85,NULL,NULL,66,60,66,41,72,NULL,95,NULL,NULL
